Date,Open,High,Low,Close,Adj Close,Volume
2020-11-05,4.907014,5.024985,4.794661,4.867691,4.866340,12521491
2020-11-06,4.867691,5.126102,4.867691,5.047455,5.046053,13046594
2020-11-09,5.098014,5.201941,4.862073,4.915441,4.914076,12033088
2020-11-10,4.909823,4.957573,4.679499,4.789044,4.787714,4887412
2020-11-11,4.786235,4.977235,4.766573,4.797470,4.796138,9217617
2020-11-12,4.805896,4.999705,4.760955,4.870499,4.869147,14028357
2020-11-13,4.901396,4.965999,4.811514,4.935102,4.933732,7294007
2020-11-16,5.055882,5.182279,4.985661,5.039029,5.037630,12127668
2020-11-17,5.041838,5.069926,4.862073,4.898588,4.897228,6288212
2020-11-18,4.949146,5.140146,4.949146,5.005323,5.003933,13195610
2020-11-19,5.008132,5.081161,4.890161,5.013749,5.012357,7355969
2020-11-20,5.024985,5.112058,4.980044,5.041838,5.040438,7205906
2020-11-23,5.089588,5.100823,4.915441,4.951955,4.950580,6341544
2020-11-24,4.980044,5.050264,4.921058,5.002514,5.001125,5607358
2020-11-25,5.036220,5.064308,4.932294,4.940720,4.939348,7197896
2020-11-26,4.977235,5.165426,4.971617,5.053073,5.051670,14216657
2020-11-27,5.069926,5.145764,4.985661,4.991279,4.989893,6639783
2020-11-30,4.929485,4.971617,4.769382,4.791852,4.790522,7104981
2020-12-01,4.845220,4.951955,4.789044,4.921058,4.919692,5689129
2020-12-02,4.929485,4.982852,4.831176,4.867691,4.866340,5248432
2020-12-03,4.873308,5.024985,4.831176,4.940720,4.939348,8623553
2020-12-04,4.946338,5.041838,4.901396,4.921058,4.919692,5211876
2020-12-07,4.935102,4.971617,4.805896,4.831176,4.829834,4398403
2020-12-08,4.842411,4.870499,4.814323,4.819941,4.818603,1872257
2020-12-09,4.817132,4.915441,4.817132,4.839602,4.838258,4113779
2020-12-10,4.859264,5.002514,4.853646,4.926676,4.925308,9033590
2020-12-11,4.921058,5.171044,4.876117,5.154191,5.152760,27623793
2020-12-14,5.196323,5.685058,5.193514,5.499676,5.498149,53557363
2020-12-15,5.550235,5.881676,5.423838,5.690676,5.689096,38908027
2020-12-16,5.741235,6.170985,5.701911,6.103573,6.101878,40317094
2020-12-17,6.272102,6.522088,5.836735,6.008073,6.006405,38898656
2020-12-18,6.038970,6.336705,5.974367,6.241205,6.239472,19016225
2020-12-21,6.151323,6.696235,6.041779,6.696235,6.694376,38081410
2020-12-22,6.701852,7.005205,6.547367,6.628823,6.626982,31301703
2020-12-23,6.645676,6.811396,6.491191,6.623205,6.621367,19250779
2020-12-24,6.597926,6.805779,6.572646,6.611970,6.610134,14169128
2020-12-25,6.600735,6.642867,6.392882,6.415352,6.413571,8685843
2020-12-28,6.406926,6.530514,6.283338,6.398499,6.396722,12843028
2020-12-29,6.390073,6.460293,6.288955,6.317043,6.315289,6180694
2020-12-30,6.305808,6.513661,6.286146,6.429396,6.427611,10097195
2020-12-31,6.460293,6.985543,6.460293,6.752411,6.750536,24493159
2021-01-04,6.825441,6.923749,6.738367,6.746793,6.744920,12739056
2021-01-05,6.769264,6.811396,6.564220,6.611970,6.610134,9844064
2021-01-06,6.642867,6.802970,6.642867,6.724323,6.722456,8512916
2021-01-07,6.729941,7.267830,6.729941,7.155477,7.153491,13365653
2021-01-08,7.373161,7.843639,7.064191,7.583823,7.581717,27209997
2021-01-11,7.611911,7.766396,7.232720,7.422316,7.420255,12285229
2021-01-12,7.499558,7.548713,7.302941,7.401249,7.399194,5127527
2021-01-13,7.422316,7.998124,7.422316,7.836617,7.834441,19645720
2021-01-14,7.864705,8.152610,7.647021,7.878749,7.876562,12563630
2021-01-15,7.850661,8.075367,7.703198,7.878749,7.876562,8753878
2021-01-18,7.899816,8.117499,7.682132,7.998124,7.995903,10687734
2021-01-19,8.033235,8.166654,7.941948,8.033235,8.031004,8659298
2021-01-20,8.061323,8.349227,7.984080,8.068345,8.066105,8794571
2021-01-21,8.075367,8.243896,7.906838,7.998124,7.995903,6783438
